vendor_id,vendor_name,country,state,city,industry,contact_email,phone,status,risk_band,onboarding_date,last_updated,pan,gst,tax_id,registration_number,website,primary_contact_name,primary_contact_title,bank_account,ifsc_code,swift_code
VENDOR-0011,YEN Global Enterprises,India,Delhi,West Jessicashire,Financial Services,seanwashington@arnold-daniels.info,839.863.6057,PENDING,LOW,2025-07-14,2025-08-08,PEDDA4295N,32CZKUK6107K7ZR,,CIN-U91343MH1611PTC724005,https://sankar-dhingra.com/,Rebecca Jackson,VP Operations,TMTV3792374740748,INDB0642717,
VENDOR-0012,Ethan Technologies Technologies,India,Maharashtra,Vanessaport,Education,stephen43@castaneda-rodriguez.biz,001-944-606-4090,APPROVED,LOW,2025-10-05,2025-10-23,THTVU4770U,28JBXCK4608F1ZE,,CIN-U88424MH7451PTC712368,http://baker.info/,Megan Richards,Manager,DVHP09859317461200,SBIN0340062,
VENDOR-0013,Wilson-Young Industries,Singapore,,Malda,Consulting,umatthews@mcclure.com,+1-764-205-3773x515,APPROVED,LOW,2025-06-29,2025-07-08,,,4317139005322,REG-18393352,https://www.zachariah.com/,Karan Aurora,CFO,ZZHS50240268117758,,QHTBGB7T3BD
VENDOR-0014,GMK Tech Private Limited,India,Telangana,Simmonsville,Healthcare,fjones@franklin-jones.com,(998)547-8961x1836,APPROVED,LOW,2025-08-05,2025-08-19,KMXKK7735L,24VCCNX1887Z2ZR,,CIN-U98851MH6560PTC494519,http://chokshi.net/,Donald Perez,Manager,RYTT80940244550229,KKBK0863587,
VENDOR-0015,Chad Technologies Limited,USA,,Bettiah,Financial Services,dsaini@dugar-pingle.com,001-999-810-2290x14767,APPROVED,MEDIUM,2025-09-06,2025-09-21,,,3815614978402,REG-69003432,https://smith.biz/,Lajita Walia,Director,QRVZ5160607159696,,DMAKGBK3XF1
VENDOR-0016,GYL Global Private Limited,India,Maharashtra,Junagadh,Automotive,fosterkyle@walker-maxwell.com,8355231243,PENDING,LOW,2025-09-28,2025-10-16,TYFOV1241U,12ECOZS4872L3ZJ,,CIN-U70054MH1199PTC867980,http://alvarez.com/,Mrs. Maria Williams,CFO,OQQT25546659051518,INDB0604740,
VENDOR-0017,Justin Solutions Pvt Ltd,USA,,Jodhpur,Construction,dayita62@chad.com,8168505423,APPROVED,MEDIUM,2025-08-05,2025-08-14,,,7332214188803,REG-92962229,https://www.patla-khanna.info/,Rachel Young,CFO,JZZP3597746886239,,BUPLGB9G7HS
VENDOR-0018,EHZ Global Industries,India,Maharashtra,Darbhanga,Pharmaceuticals,mariahdavis@velasquez.com,2687536153,APPROVED,HIGH,2025-08-24,2025-09-04,WZEJW1936Y,11OCIED8811H9ZD,,CIN-U36971MH1798PTC089324,http://duncan.com/,Joseph Romero,Head of Procurement,MPBU6540515319520,ICIC0159642,
VENDOR-0019,Amy Technologies Services,India,Karnataka,Nangloi Jat,Automotive,devshankar@memon.com,+915486874034,APPROVED,LOW,2025-10-20,2025-11-17,YUIZN4853X,22MFWLZ2964X4ZC,,CIN-U92845MH1154PTC479627,https://www.berg.com/,Nidra Patla,Head of Procurement,AETV7021355690927,SBIN0749468,
VENDOR-0020,Watson Corporation,India,Delhi,Bettiah,Automotive,redwards@horne.com,368.914.4739x47312,APPROVED,MEDIUM,2025-07-02,2025-07-25,WCVWR6147J,17WZQDZ5351H7ZA,,CIN-U89578MH2911PTC467866,http://borah.net/,Ronald Arnold,Director,YENQ0182422535841,PUNB0579434,
